Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.cfsanappsexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 5/19/2021; downloaded 9/28/2021.

"It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations."

CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
" 94089-23-3"," ACETOIN PROPYLENEGLYCOL KETAL"," &diams; ACETOIN PROPYLENE GLYCOL ACETAL<br />&diams; 1,3-dioxolane-2-methanol, alpha,2,4-trimethyl-<br />&diams; alpha,2,4-trimethyl-1,3-dioxolane-2-methanol"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4532"),=T("24"),,,=T("2033")
" 977164-02-5"," ALPHA-ACETOLACTATE DECARBOXYLASE ENZYME PREPARATION FROM BACILLUS SUBTILIS RECOMBINANT"," &diams; ACETOLACTATE DECARBOXYLASE, BACILLUS SUBTILIS, RECOMBINANT<br />&diams; ALPHA-ACETOLACTATE DECARBOXYLASE, BACILLUS SUBTILIS, RECOMBINANT<br />&diams; BACILLUS SUBTILIS ACETOLACTATE DECARBOXYLASE, RECOMBINANT"," ENZYME",,,,,,,=T("173.115"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 28060-90-4"," ACETOLEIN"," &diams; DIACETOOLEIN<br />&diams; GLYCERYL DIACETATE MONOOLEATE<br />&diams; GLYCERYL MONOOLEATE, DIACETYLATED<br />&diams; GLYCERYL DIACETATE OLEATE<br />&diams; OLEODIACETIN<br />&diams; 9-OCTADECENOIC ACID (Z)-, ESTER WITH 1,2,3-PROPANETRIOL DIACETATE<br />&diams; ACETIN, OLEODI-<br />&diams; OLEIN, DIACETO-<br />&diams; 1,2,3-PROPANETRIYL DIACETATE (Z)-9-OCTADECENOATE<br />&diams; DIACETYLMONOOLEIN<br />&diams; DIACETYLOLEOYLGLYCEROL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 67-64-1"," ACETONE"," &diams; ACETONE<br />&diams; DIMETHYL KETONE<br />&diams; BETA-KETOPROPANE<br />&diams; PYROACETIC ETHER<br />&diams; 2-OXOPROPANE<br />&diams; 2-PROPANONE<br />&diams; METHYL KETONE<br />&diams; DIMETHYLFORMALDEHYDE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE,<br /> WASHING OR SURFACE REMOVAL AGENT",=T("73.1"),=T("73.30"),=T("73.345"),=T("73.615"),,,=T("173.210"),=T("175.105"),=T("175.320"),=T("176.180"),=T("176.300"),=T("177.2600"),,,,,,,,,,,,,,,,,=T("3326"),=T("6"),,,=T("139")
" 1336-17-0"," ACETONE PEROXIDES"," &diams; ACETONE PEROXIDES<br />&diams; 2-PROPANONE, PEROXIDE<br />&diams; 2-PROPANONE PEROXIDE<br />&diams; ACETONE PEROXIDE<br />&diams; TRIACETONE PEROXIDE",,,,,,,,=T("172.802"),,,,,,,,,,,,,,,,,,,,,=T("137.105"),,,,,
" 98-86-2"," ACETOPHENONE"," &diams; ACETOPHENONE<br />&diams; ACETYLBENZENE<br />&diams; ACETYLBENZOL<br />&diams; BENZOYLMETHIDE<br />&diams; HYPNONE<br />&diams; METHYL PHENYL KETONE<br />&diams; PHENYL METHYL KETONE<br />&diams; 1-PHENYLETHANONE<br />&diams; ETHANONE, 1-PHENYL-"," FLAVORING AGENT OR ADJUVANT,<br /> SOLVENT OR VEHICLE",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2009"),=T("3"),,,=T("806")
" 27177-85-1"," ACETOSTEARIN"," &diams; ACETOMONOSTEARIN<br />&diams; OCTDECANOIC ACID, MONOESTER WITH 1,2,3-PROPANETRIOL MONOACETATE<br />&diams; 1,2,3-PROPANETRIOL MONOACETATE MONOCTADECANOATE<br />&diams; STEARIN, ACETO-<br />&diams; GLYCEROL MONOACETATE MONOSTEARATE<br />&diams; GLYCERYL MONOSTEARATE, MONOACETYLATED<br />&diams; STEAROMONOACETIN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 72541-09-4"," 6-ACETOXYDIHYDROTHEASPIRANE"," &diams; 6-ACETOXYDIHYDROTHEASPIRANE<br />&diams; 2,6,10,10-TETRAMETHYL-1-OXASPIRO(4.5)DECAN-6-YL ACETATE<br />&diams; 1-OXASPIRO(4.5)DECAN-6-OL, 2,6,10,10-TETRAMETHYL-, ACETATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3651"),=T("13"),,,=T("1647")
" 4166-20-5"," 4-ACETOXY-2,5-DIMETHYL-3(2H)-FURANONE"," &diams; 4-ACETOXY-2,5-DIMETHYL-3(2H)-FURANONE<br />&diams; 3(2H)-FURANONE, 4-(ACETYLOXY)-2,5-DIMETHYL-<br />&diams; 3(2H)-FURANONE, 4-HYDROXY-2,5-DIMETHYL-, ACETATE<br />&diams; 4-(ACETYLOXY)-2,5-DIMETHYL-3(2H)-FURANONE<br />&diams; 4-HYDROXY-2,5-DIMETHYL-3(2H)-FURANONE ACETATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3797"),=T("17"),,,=T("1456")
" 1608-72-6"," (+/-)-1-ACETOXY-1-ETHOXYETHANE"," &diams; 1-ETHOXYETHYL ACETATE<br />&diams; ACETIC ACID, 1-ETHOXYETHYL ESTER<br />&diams; 1-ETHOXY-1-ETHYL ACETATE<br />&diams; 1-acetoxy-1-ethoxyethane<br />&diams; InChI=1S/C6H12O3/c1-4-8-6(3)9-5(2)7/h6H,4H2,1-3H3<br />&diams; InChIKey: FAIARWOGQAQTPS-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4069"),=T("22"),,,=T("1726")
" 3572-06-3"," 4-(P-ACETOXYPHENYL)-2-BUTANONE"," &diams; 4-(P-HYDROXYPHENYL)-2-BUTANONE ACETATE<br />&diams; 2-BUTANONE, 4-(4-(ACETYLOXY)PHENYL)-<br />&diams; 2-BUTANONE, 4-(P-HYDROXYPHENYL)-, ACETATE<br />&diams; 4-(P-ACETOXYPHENYL)-2-BUTANONE<br />&diams; 4-(4-ACETYLOXYPHENYL)-2-BUTANONE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3652"),=T("13"),,,=T("731")
" 164524-93-0"," 5-ACETYL-2,3-DIHYDRO-1,4-THIAZINE"," &diams; 5-ACETYL-2,3-DIHYDRO-1,4-THIAZINE<br />&diams; ethanone, 1-(3,4-dihydro-2H-1,4-thiazin-5-yl)-<br />&diams; 1-(3,4-dihydro-2H-1,4-thiazin-5-yl)ethanone<br />&diams; InChI=1S/C6H9NOS/c1-5(8)6-4-9-3-2-7-6/h4,7H,2-3H2,1H3<br />&diams; InChIKey: YJSKAAVPUSXIPL-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4296"),=T("23"),,,=T("1766")
" 22940-86-9"," 2-ACETYL-3,5-DIMETHYLFURAN"," &diams; 2-ACETYL-3,5-DIMETHYLFURAN<br />&diams; ethanone, 1-(3,5-dimethyl-2-furanyl)-<br />&diams; ketone, 3,5-dimethyl-2-furyl methyl<br />&diams; 1-(3,5-dimethyl-2-furanyl)-ethanone<br />&diams; 3,5-dimethyl-2-furyl methyl ketone<br />&diams; ethanone, 1-(3,5-dimethyl-2-furanyl)"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4071"),=T("22"),,,=T("1505")
" 10599-70-9"," 3-ACETYL-2,5-DIMETHYLFURAN"," &diams; 3-ACETYL-2,5-DIMETHYLFURAN<br />&diams; ETHANONE, 1-(2,5-DIMETHYL-3-FURANYL)-<br />&diams; KETONE, 2,5-DIMETHYL-3-FURYL METHYL<br />&diams; 2,5-DIMETHYL-3-ACETYLFURAN<br />&diams; 1-(2,5-DIMETHYL-3-FURANYL)ETHANONE<br />&diams; 2,5-DIMETHYL-3-FURYL METHYL KETONE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3391"),=T("7"),,,=T("1506")
