Downloaded from FDA Substances Added to Food <em>(formerly EAFUS)</em>; http://www.cfsanappsexternal.fda.gov/scripts/fdcc/?set=FoodSubstances; Last updated 5/19/2021; downloaded 9/28/2021.

"It is important to note that the inventory is only a partial list of food ingredients. Inclusion in this inventory of information from non-FDA entities does not indicate an FDA approval or evaluation of this use.  Always check the FDA regulations."

CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
" 977089-66-9"," ION EXCHANGE MEMBRANES"," &diams; ION-EXCHANGE MEMBRANE"," PROCESSING AID",,,,,,,=T("173.20"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 977017-05-2"," ION EXCHANGE RESIN"," &diams; ION-EXCHANGE RESIN"," PROCESSING AID",,,,,,,=T("173.25"),,,,,,,,,,,,,,,,,,,,," 146.148 ,  160.145",,,,,
" 25312-34-9"," ALPHA-IONOL"," &diams; IONOL, ALPHA-<br />&diams; 4-(2,6,6-TRIMETHYL-2-CYCLOHEXEN-1-YL)-3-BUTEN-2-OL<br />&diams; 3-BUTEN-2-OL, 4-(2,6,6-TRIMETHYL-2-CYCLOHEXEN-1-YL)-<br />&diams; 4-(2,6,6-TRIMETHYL-2-CYCLOHEXENYL)-3-BUTEN-2-OL"," ANTIOXIDANT,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3624"),=T("12"),,,=T("391")
" 22029-76-1"," BETA-IONOL"," &diams; IONOL, BETA-<br />&diams; 4-(2,6,6-TRIMETHYL-1-CYCLOHEXEN-1-YL)-3-BUTEN-2-OL<br />&diams; 3-BUTEN-2-OL, 4-(2,6,6-TRIMETHYL-1-CYCLOHEXEN-1-YL)-<br />&diams; 4-(2,6,6-TRIMETHYL-1-CYCLOHEXENYL)-3-BUTEN-2-OL<br />&diams; 2-HYDROXY-BETA-IONONE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3625"),=T("12"),=T("25"),,=T("392")
" 127-41-3"," ALPHA-IONONE"," &diams; IONONE, ALPHA-<br />&diams; 4-(2,6,6-TRIMETHYL-2-CYCLOHEXEN-1-YL)-3-BUTEN-2-ONE, (E)-<br />&diams; CYCLOCITRYLIDENEACETONE, ALPHA-<br />&diams; 3-BUTEN-2-ONE, 4-(2,6,6-TRIMETHYL-2-CYCLOHEXEN-1-YL)-, (E)-"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2594"),=T("3"),,,=T("388")
" 14901-07-6"," BETA-IONONE"," &diams; IONONE, BETA-<br />&diams; 4-(2,6,6-TRIMETHYL-1-CYCLOHEXEN-1-YL)-3-BUTEN-2-ONE<br />&diams; CYCLOCITRYLIDENEACETONE, BETA-<br />&diams; 3-BUTEN-2-ONE, 4-(2,6,6-TRIMETHYL-1-CYCLOHEXEN-1-YL)-"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2595"),=T("3"),,,=T("389")
" 23267-57-4"," BETA-IONONE EPOXIDE"," &diams; BETA-IONONE EPOXIDE<br />&diams; 3-buten-2-one, 4-(2,2,6-trimethyl-7-oxabicyclo(4.1.0)hept-1-yl)-<br />&diams; 4-(2,2,6-trimethyl-7-oxabicyclo(4.1.0)hept-1-yl)-3-buten-2-one<br />&diams; 4-(1,2-epoxy-2,6,6-trimethylcyclohexyl)-3-butenone-2<br />&diams; 5,6-epoxy-beta-ionone<br />&diams; beta-ionone 5,6-epoxide<br />&diams; InChI=1S/C13H20O2/c1-10(14)6-9-13-11(2,3)7-5-8-12(13,4)15-13/h6,9H,5,7-8H2,1-4H3<br />&diams; InChIKey: ZTJZJYUGOJYHCU-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4144"),=T("22"),,,=T("1571")
" 79-76-5"," GAMMA-IONONE"," &diams; IONONE, GAMMA-<br />&diams; 4-(2,2-DIMETHYL-6-METHYLENECYCLOHEXYL)-3-BUTEN-2-ONE<br />&diams; 4-(2-METHYLENE-6,6-DIMETHYLCYCLOHEXYL)-3-BUTEN-2-ONE<br />&diams; 3-BUTEN-2-ONE, 4-(2,2-DIMETHYL-6-METHYLENECYCLOHEXYL)-"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3175"),=T("4"),=T("25"),,=T("390")
" 22030-19-9"," BETA-IONYL ACETATE"," &diams; IONYL ACETATE, BETA-<br />&diams; 3-BUTEN-2-OL, 4-(2,6,6-TRIMETHYL-1-CYLOHEXEN-1-YL)-, ACETATE<br />&diams; 4-(2,6,6-TRIMETHYL-1-CYCLOHEXEN-1-YL)-3-BUTEN-2-YL ACETATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("3844"),=T("18"),,,=T("1409")
" 1185-57-5"," IRON AMMONIUM CITRATE"," &diams; AMMONIUM IRON(III) CITRATE<br />&diams; AMMONIUM FERRIC CITRATE<br />&diams; AMMONIUM IRON(3+) CITRATE<br />&diams; AMMONIUM IRON(3+) 2-HYDROXY-1,2,3-PROPANETRICARBOXYLATE<br />&diams; FERRIC AMMONIUM CITRATE, GREEN<br />&diams; CITRIC ACID, AMMONIUM IRON(3+) SALT<br />&diams; FERRIC AMMONIUM CITRATE<br />&diams; IRON(III) AMMONIUM CITRATE<br />&diams; IRON AMMONIUM CITRATE, GREEN<br />&diams; 1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, AMMONIUM IRON(3+) SALT"," ANTICAKING AGENT OR FREE-FLOW AGENT",,,,,,,=T("172.430"),=T("182.20"),=T("184.1296"),,,,,,,,,,,,,,,,,,,,,,,,
" 6535-20-2"," IRON CAPRYLATE"," &diams; IRON OCTANOATE<br />&diams; IRON CAPRYLATE<br />&diams; OCTANOIC ACID, IRON SALT<br />&diams; IRON OCTOATE"," DRYING AGENT",,,,,,,=T("175.300"),=T("181.25"),,,,,,,,,,,,,,,,,,,,,,,,,
" 1336-80-7"," IRON-CHOLINE CITRATE COMPLEX"," &diams; FERROCHOLINATE<br />&diams; IRON CHOLINE CITRATE<br />&diams; IRON-CHOLINE CITRATE COMPLEX<br />&diams; FERROCHOLINATE CITRATE<br />&diams; ETHANAMINIUM, 2-HYDROXY-N,N,N-TRIMETHYL-, (OC-6-44)-TRIAQUA(2-HYDROXY-1,2,3-PROPANETRICARBOXYLATO(4-))FERRATE(1-)<br />&diams; FERRATE(1-), TRIAQUA(2-HYDROXY-1,2,3-PROPANETRICARBOXYLATO(4-))-, (OC-6-44)-, 2-HYDROXY-N,N,N-TRIMETHYLETHANAMINIUM<br />&diams; 2-HYDROXY-1,2,3-PROPANETRICARBOXYLIC ACID, IRON COMPLEX<br />&diams; 2-HYDROXY-N,N,N-TRIMETHYLETHANAMINIUM TRIAQUA(2-HYDROXY-1,2,3-TRICARBOXYLATOFERRATE, (OC-6-44)<br />&diams; IRON 2-HYDROXY-1,2,3-PROPANETRICARBOXYLATE COMPLEX<br />&diams; FERRIC CHOLINE CITRATE"," NUTRIENT SUPPLEMENT",,,,,,,=T("172.370"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 2338-05-8"," IRON CITRATE"," &diams; IRON CITRATE<br />&diams; 1,2,3-PROPANETRICARBOXYLIC ACID, 2-HYDROXY-, IRON SALT<br />&diams; IRON 2-HYDROXY-1,2,3-PROPANETRICARBOXYLATE<br />&diams; CITRIC ACID, IRON SALT"," NUTRIENT SUPPLEMENT",,,,,,,=T("184.1298"),,,,,,,,,,,,,,,,,,,,,,,,,,
" 79-69-6"," ALPHA-IRONE"," &diams; ALPHA-IRONE<br />&diams; 4-(2,5,6,6-TETRAMETHYL-2-CYCLOHEXEN-1-YL)-3-BUTEN-2-ONE<br />&diams; 6-METHYL-ALPHA-IONONE<br />&diams; IRONE, ALPHA-<br />&diams; CYCLOCITRYLIDENEMETHYL ETHYL KETONE, ALPHA-<br />&diams; 2,6-CIS-(2(1),2(2))-ALPHA-IONONE, CIS-<br />&diams; 3-BUTEN-2-ONE, 4-(2,5,6,6-TETRAMETHYL-2-CYCLOHEXEN-1-YL)-<br />&diams; InChI=1S/C14H22O/c1-10-6-7-11(2)14(4,5)13(10)9-8-12(3)15/h6,8-9,11,13H,7H2,1-5H3/b9-8+/t11-,13+/m1/s1<br />&diams; InChIKey=JZQOJFLIJNRDHK-UZPJXDOOSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2597"),=T("3"),=T("25"),,=T("403")
" 7439-89-6"," IRON, ELEMENTAL"," &diams; IRON<br />&diams; IRON, ELEMENTAL"," NUTRIENT SUPPLEMENT",,,,,,,=T("184.1375"),,,,,,,,,,,,,,,,,,,,,=T("111.5"),,,,,
" 7779-63-7"," IRON LINOLEATE"," &diams; IRON LINOLEATE<br />&diams; 9,12-OCTADECADIENOIC ACID (Z,Z)-, IRON SALT<br />&diams; IRON 9,12-OCTADECADIENOATE, (Z,Z)-<br />&diams; LINOLEIC ACID, IRON SALT"," DRYING AGENT",,,,,,,=T("175.300"),=T("181.25"),,,,,,,,,,,,,,,,,,,,,,,,,
" 1338-14-3"," IRON NAPHTHENATE"," &diams; IRON NAPHTHENATE<br />&diams; NAPHTHENIC ACIDS, IRON SALTS"," DRYING AGENT",,,,,,,=T("175.300"),=T("181.25"),,,,,,,,,,,,,,,,,,,,,,,,,
" 1332-37-2"," IRON OXIDE"," &diams; IRON OXIDE<br />&diams; IRON OXIDE, SYNTHETIC<br />&diams; SYNTHETIC IRON OXIDE"," COLOR OR COLORING ADJUNCT,<br /> SURFACE-FINISHING AGENT",=T("73.200"),,,,,,=T("175.300"),=T("175.380"),=T("175.390"),=T("176.170"),=T("177.1350"),=T("177.1460"),=T("177.2600"),=T("178.3297"),=T("186.1374"),,,,,,,,,,,,,,,,,,
" 977009-72-5"," IRON PEPTONATE"," &diams; IRON, PEPTONIZED<br />&diams; IRON PEPTONATE"," NUTRIENT SUPPLEMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 977125-47-5"," IRON POLYVINYLPYRROLIDONE"," &diams; IRON POVIDONE<br />&diams; IRON POLYVINYLPYRROLIDONE<br />&diams; IRON PVP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 61788-81-6"," IRON TALLATE"," &diams; TALL OIL FATTY ACIDS, IRON SALTS<br />&diams; FATTY ACIDS, TALL-OIL, IRON SALTS<br />&diams; IRON TALLATE<br />&diams; IRON TALL-OIL FATTY ACIDS"," DRYING AGENT",,,,,,,=T("175.300"),=T("181.25"),,,,,,,,,,,,,,,,,,,,,,,,,
" 28645-51-4"," ISOAMBRETTOLIDE"," &diams; ISOAMBRETTOLIDE<br />&diams; delta9-isoambrettolic acid, lactone<br />&diams; 9-hexadecenoic acid, 16-hydroxy-, omega-lactone<br />&diams; oxacycloheptadec-10-en-2-one<br />&diams; 16-hydroxy-, 9-hexadecenoic acid, omega-lactone<br />&diams; InChI=1S/C16H28O2/c17-16-14-12-10-8-6-4-2-1-3-5-7-9-11-13-15-18-16/h1,3H,2,4-15H2/b3-1-<br />&diams; InChiKey=QILMAYXCYBTEDM-IWQZZHSRSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4145"),=T("22"),,,=T("1991")
" 123-92-2"," ISOAMYL ACETATE"," &diams; ISOAMYL ACETATE<br />&diams; 3-METHYL-1-BUTYL ACETATE<br />&diams; 3-METHYLBUTYL ETHANOATE<br />&diams; ISOPENTYL ACETATE<br />&diams; BETA-METHYLBUTYL ACETATE<br />&diams; AMYL ACETATE, COMMON<br />&diams; ISOAMYL ETHANOATE<br />&diams; 3-METHYLBUTYL ACETATE<br />&diams; 1-BUTANOL, 3-METHYL-, ACETATE<br />&diams; ISOPENTYL ALCOHOL, ACETATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2055"),=T("3"),,,=T("43")
" 2308-18-1"," ISOAMYL ACETOACETATE"," &diams; ISOAMYL ACETOACETATE<br />&diams; ISOPENTYL ACETOACETATE<br />&diams; 3-METHYLBUTYL 3-OXOBUTANOATE<br />&diams; 3-METHYLBUTYL ACETOACETATE<br />&diams; ISOPENTYL BETA-KETOBUTYRATE<br />&diams; ISOPENTYL 3-OXOBUTANOATE<br />&diams; ISOAMYL 3-OXOBUTANOATE<br />&diams; ISOAMYL BETA-KETOBUTYRATE<br />&diams; 3-METHYLBUTYL BETA-KETOBUTYRATE<br />&diams; ISOAMYL ACETYLACETATE<br />&diams; BUTANOIC ACID, 3-OXO-, 3-METHYLBUTYL ESTER<br />&diams; ACETOACETIC ACID, ISOPENTYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("3551"),=T("11"),,,=T("598")
" 123-51-3"," ISOAMYL ALCOHOL"," &diams; ISOAMYL ALCOHOL<br />&diams; 3-METHYL-1-BUTANOL<br />&diams; ISOPENTANOL<br />&diams; ISOPENTYL ALCOHOL<br />&diams; 3-METHYLBUTANOL<br />&diams; ISOBUTYLCARBINOL<br />&diams; 1-BUTANOL, 3-METHYL-<br />&diams; ISOAMYLOL"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2057"),=T("3"),,,=T("52")
" 94-46-2"," ISOAMYL BENZOATE"," &diams; ISOAMYL BENZOATE<br />&diams; ISOPENTYL BENZOATE<br />&diams; 3-METHYLBUTYL BENZOATE<br />&diams; 1-BUTANOL, 3-METHYL-, BENZOATE<br />&diams; 3-METHYL-1-BUTYL BENZOATE<br />&diams; ISOPENTYL ALCOHOL, BENZOATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2058"),=T("3"),,,=T("857")
" 106-27-4"," ISOAMYL BUTYRATE"," &diams; ISOAMYL BUTYRATE<br />&diams; ISOPENTYL BUTYRATE<br />&diams; ISOPENTYL BUTANOATE<br />&diams; ISOAMYL BUTANOATE<br />&diams; 3-METHYLBUTYL BUTANOATE<br />&diams; BUTANOIC ACID, 3-METHYLBUTYL ESTER<br />&diams; BUTYRIC ACID, ISOPENTYL ESTER<br />&diams; ISOPENTYL ALCOHOL, BUTYRATE<br />&diams; 3-METHYLBUTYL BUTYRATE<br />&diams; ISOAMYL BUTYLATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2060"),=T("3"),,,=T("45")
" 7779-65-9"," ISOAMYL CINNAMATE"," &diams; ISOAMYL CINNAMATE<br />&diams; ISOPENTYL CINNAMATE<br />&diams; ISOPENTYL 3-PHENYLPROPENOATE<br />&diams; ISOPENTYL 3-PHENYLACRYLATE<br />&diams; ISOAMYL BETA-PHENYLACRYLATE<br />&diams; ISOPENTYL BETA-PHENYLACRYLATE<br />&diams; 2-PROPENOIC ACID, 3-PHENYL-, 3-METHYLBUTYL ESTER<br />&diams; 3-METHYLBUTYL 3-PHENYL-2-PROPENOATE<br />&diams; CINNAMIC ACID, ISOPENTYL ESTER<br />&diams; ISOPENTYL ALCOHOL, CINNAMATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2063"),=T("3"),,,=T("665")
" 110-45-2"," ISOAMYL FORMATE"," &diams; ISOAMYL FORMATE<br />&diams; ISOPENTYL FORMATE<br />&diams; ISOPENTYL METHANOATE<br />&diams; ISOAMYL METHANOATE<br />&diams; 1-BUTANOL, 3-METHYL-, FORMATE<br />&diams; 3-METHYL-1-BUTYL FORMATE<br />&diams; 3-METHYLBUTYL FORMATE<br />&diams; ISOPENTYL ALCOHOL, FORMATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2069"),=T("3"),,,=T("42")
" 7779-66-0"," ISOAMYL 4-(2-FURAN)BUTYRATE"," &diams; ISOAMYL 4-(2-FURAN)BUTYRATE<br />&diams; ALPHA-ISOAMYL FURFURYLPROPIONATE<br />&diams; ISOAMYL 2-FURANBUTYRATE<br />&diams; ISOAMYL 4-(2-FURYL)BUTYRATE<br />&diams; ISOPENTYL 2-FURANBUTYRATE<br />&diams; 3-METHYLBUTYL 2-FURANBUTANOATE<br />&diams; 3-METHYLBUTYL 2-FURANBUTYRATE<br />&diams; 3-METHYLBUTYL 2-FURYLBUTYRATE<br />&diams; 2-FURANBUTANOIC ACID, 3-METHYLBUTYL ESTER<br />&diams; 2-FURANBUTYRIC ACID, ISOPENTYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2070"),=T("3"),,,=T("1516")
" 7779-67-1"," ISOAMYL 3-(2-FURAN)PROPIONATE"," &diams; ISOAMYL 3-(2-FURAN)PROPIONATE<br />&diams; ALPHA-ISOAMYL FURFURYLACETATE<br />&diams; ISOAMYL 2-FURANPROPIONATE<br />&diams; ISOAMYL 2-FURYLPROPIONATE<br />&diams; ISOAMYL 3-(2-FURYL)PROPIONATE<br />&diams; ISOPENTYL 2-FURANPROPIONATE<br />&diams; ISOAMYL FURYLPROPANOATE<br />&diams; 3-METHYLBUTYL 2-FURANPROPANOATE<br />&diams; 3-METHYLBUTYL 3-(2-FURYL)PROPIONATE<br />&diams; 2-FURANPROPANOIC ACID, 3-METHYLBUTYL ESTER<br />&diams; 2-FURANPROPIONIC ACID, ISOPENTYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2071"),=T("3"),,,=T("1515")
" 2198-61-0"," ISOAMYL HEXANOATE"," &diams; ISOAMYL HEXANOATE<br />&diams; ISOAMYL CAPROATE<br />&diams; ISOPENTYL CAPROATE<br />&diams; ISOPENTYL HEXANOATE<br />&diams; HEXANOIC ACID, 3-METHYLBUTYL ESTER<br />&diams; 3-METHYLBUTYL HEXANOATE<br />&diams; HEXANOIC ACID, ISOPENTYL ESTER<br />&diams; ISOPENTYL ALCOHOL, HEXANOATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2075"),=T("3"),,,=T("46")
" 2050-01-3"," ISOAMYL ISOBUTYRATE"," &diams; ISOAMYL ISOBUTYRATE<br />&diams; ISOPENTYL ISOBUTYRATE<br />&diams; 3-METHYLBUTYL 2-METHYLPROPANOATE<br />&diams; ISOAMYL 2-METHYLPROPANOATE<br />&diams; ISOPENTYL 2-METHYLPROPANOATE<br />&diams; PROPANOIC ACID, 2-METHYL-, 3-METHYLBUTYL ESTER<br />&diams; ISOBUTYRIC ACID, ISOPENTYL ESTER<br />&diams; ISOPENTYL ALCOHOL, ISOBUTYRATE<br />&diams; 3-METHYLBUTYL ISOBUTYRATE<br />&diams; 3-METHYL-1-BUTYL ISOBUTYRATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("3507"),=T("10"),,,=T("49")
" 628-03-5"," ISOAMYL ISOTHIOCYANATE"," &diams; ISOAMYL ISOTHIOCYANATE<br />&diams; butane, 1-isothiocyanato-3-methyl-<br />&diams; 1-isothiocyanato-3-methylbutane<br />&diams; isothiocyanic acid, isopentyl ester<br />&diams; isopentyl isothiocyanate<br />&diams; InChI=1S/C6H11NS/c1-6(2)3-4-7-5-8/h6H,3-4H2,1-2H3<br />&diams; InChIKey: JATNWMBUDXLMEO-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4423"),=T("23"),,,=T("1887")
" 659-70-1"," ISOAMYL ISOVALERATE"," &diams; ISOAMYL ISOVALERATE<br />&diams; ISOAMYL ISOVALERIANATE<br />&diams; ISOPENTYL ISOVALERATE<br />&diams; ISOPENTYL ISOPENTANOATE<br />&diams; ISOAMYL 3-METHYLBUTANOATE<br />&diams; ISOAMYL ISOPENTANOATE<br />&diams; 3-METHYLBUTYL 3-METHYLBUTYRATE<br />&diams; 3-METHYLBUTYL 3-METHYLBUTANOATE<br />&diams; ISOPENTYL 3-METHYLBUTANOATE<br />&diams; BUTANOIC ACID, 3-METHYL-, 3-METHYLBUTYL ESTER<br />&diams; ISOVALERIC ACID, ISOPENTYL ESTER<br />&diams; ISOPENTYL ALCOHOL, ISOVALERATE<br />&diams; ISOPENTYL 3-METHYLBUTYRATE<br />&diams; ISOAMYL 3-METHYLBUTYRATE<br />&diams; 3-METHYLBUTYL ISOVALERATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2085"),=T("3"),,,=T("50")
" 6309-51-9"," ISOAMYL LAURATE"," &diams; ISOAMYL LAURATE<br />&diams; ISOAMYL DODECANOATE<br />&diams; ISOPENTYL LAURATE<br />&diams; ISOPENTYL DODECANOATE<br />&diams; ISOPENTYL DODECYLATE<br />&diams; DODECANOIC ACID, 3-METHYLBUTYL ESTER<br />&diams; 3-METHYLBUTYL DODECANOATE<br />&diams; LAURIC ACID, ISOPENTYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2077"),=T("3"),,,=T("182")
" 71172-75-3"," ISOAMYL LEVULINATE"," &diams; ISOAMYL LEVULINATE<br />&diams; pentanoic acid, 4-oxo-, 3-methylbutyl ester<br />&diams; 3-methylbutyl 4-oxopentanoate<br />&diams; levulinic acid, isopentyl ester<br />&diams; isopentyl levulinate<br />&diams; InChI=1S/C10H18O3/c1-8(2)6-7-13-10(12)5-4-9(3)11/h8H,4-7H2,1-3H3<br />&diams; InChIKey: NYIALINCMIXBSP-UHFFFAOYSA-N"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4481"),=T("24"),,,=T("1972")
" 27625-35-0"," ISOAMYL 2-METHYLBUTYRATE"," &diams; ISOAMYL 2-METHYLBUTYRATE<br />&diams; BUTANOIC ACID, 2-METHYL-, 3-METHYLBUTYL ESTER<br />&diams; ISOPENTYL 2-METHYLBUTYRATE<br />&diams; ISOAMYL 2-METHYLBUTANOATE<br />&diams; ISOPENTYL 2-METHYLBUTANOATE<br />&diams; ISOAMYL ALPHA-METHYLBUTYRATE<br />&diams; 3-METHYLBUTYL 2-METHYLBUTANOATE<br />&diams; 3-METHYLBUTYL 2-METHYLBUTYRATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("3505"),=T("10"),,,=T("51")
" 7779-70-6"," ISOAMYL NONANOATE"," &diams; ISOAMYL NONANOATE<br />&diams; ISOAMYL NONYLATE<br />&diams; ISOAMYL PELARGONATE<br />&diams; ISOPENTYL NONANOATE<br />&diams; ISOPENTYL NONYLATE<br />&diams; ISOPENTYL PELARGONATE<br />&diams; 3-METHYLBUTYL NONANOATE<br />&diams; 3-METHYLBUTYL PELARGONATE<br />&diams; NONANOIC ACID, 3-METHYLBUTYL ESTER<br />&diams; NONANOIC ACID, ISOPENTYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2078"),=T("3"),,,=T("48")
" 2035-99-6"," ISOAMYL OCTANOATE"," &diams; ISOAMYL OCTANOATE<br />&diams; ISOPENTYL OCTANOATE<br />&diams; ISOAMYL CAPRYLATE<br />&diams; ISOPENTYL OCTYLATE<br />&diams; ISOAMYL OCTYLATE<br />&diams; 3-METHYLBUTYL OCTANOATE<br />&diams; OCTANOIC ACID, 3-METHYLBUTYL ESTER<br />&diams; OCTANOIC ACID, ISOPENTYL ESTER<br />&diams; ISOPENTYL ALCOHOL, OCTANOATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2080"),=T("3"),=T("25"),,=T("47")
" 56011-02-0"," ISOAMYL PHENETHYL ETHER"," &diams; ISOAMYL PHENETHYL ETHER<br />&diams; benzene, (2-(3-methylbutoxy)ethyl)-<br />&diams; (2-(3-methylbutoxy)ethylbenzene<br />&diams; phenylethyl isoamyl ether<br />&diams; 2-phenylethyl isoamyl ether"," FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,=T("4635"),=T("24"),,,=T("2136")
" 102-19-2"," ISOAMYL PHENYLACETATE"," &diams; ISOAMYL PHENYLACETATE<br />&diams; BENZENEACETIC ACID, 3-METHYLBUTYL ESTER<br />&diams; ACETIC ACID, PHENYL-, ISOPENTYL ESTER<br />&diams; ISOPENTYL PHENYLACETATE<br />&diams; ISOAMYL ALPHA-TOLUATE<br />&diams; 3-METHYLBUTYL PHENYLACETATE<br />&diams; 3-METHYLBUTYL BENZENEACETATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2081"),=T("3"),=T("25"),,=T("1014")
" 105-68-0"," ISOAMYL PROPIONATE"," &diams; ISOAMYL PROPIONATE<br />&diams; ISOPENTYL PROPIONATE<br />&diams; ISOPENTYL PROPANOATE<br />&diams; ISOAMYL PROPANOATE<br />&diams; 3-METHYLBUTYL PROPANOATE<br />&diams; 3-METHYLBUTYL PROPIONATE<br />&diams; 1-BUTANOL, 3-METHYL-, PROPANOATE<br />&diams; 3-METHYL-1-BUTYL PROPANOATE<br />&diams; ISOPENTYL ALCOHOL, PROPIONATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2082"),=T("3"),,,=T("44")
" 7779-72-8"," ISOAMYL PYRUVATE"," &diams; ISOAMYL PYRUVATE<br />&diams; ISOPENTYL PYRUVATE<br />&diams; PROPANOIC ACID, 2-OXO-, 3-METHYLBUTYL ESTER<br />&diams; 3-METHYLBUTYL 2-OXOPROPANOATE<br />&diams; PYRUVIC ACID, ISOPENTYL ESTER"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2083"),=T("3"),,,=T("939")
" 87-20-7"," ISOAMYL SALICYLATE"," &diams; ISOAMYL SALICYLATE<br />&diams; ISOAMYL O-HYDROXYBENZOATE<br />&diams; ISOPENTYL SALICYLATE<br />&diams; 3-METHYLBUTYL O-HYDROXYBENZOATE<br />&diams; 3-METHYLBUTYL SALICYLATE<br />&diams; ISOPENTYL O-HYDROXYBENZOATE<br />&diams; BENZOIC ACID, 2-HYDROXY-, 3-METHYLBUTYL ESTER<br />&diams; SALICYLIC ACID, ISOPENTYL ESTER<br />&diams; 3-METHYLBUTYL 2-HYDROXYBENZOATE"," FLAVORING AGENT OR ADJUVANT",,,,,,,=T("172.515"),,,,,,,,,,,,,,,,,,,,,,=T("2084"),=T("3"),=T("25"),,=T("903")
